Brand Name,Language,Video Title,Video URL,Transcript Text,Transcript Text (English),Language Code
Simodis,Hindi,Simodis - Hindi,https://youtu.be/IEsXdxuAblY,आज कह दिया है मैंने अगर मेरे लिए बेस्ट क्वालिटी कॉटन का कुर्ता नहीं आया तो शूटिंग कैंसिल आया आया सर आया गुड एक कॉटन का कुर्ता ढूंढने में तुम लोग को इतना वक्त लग गया इतनी तकलीफ हो गई तो जरा उन किसानों के बारे में तो सोचो जो कपास उगाते हैं वो जमाना गया ना सर अब ये सिम है इतना कुछ कर सिमस किसानों को इसके बारे में पता है क्या इसीलिए आपको बुलाया ना सर हां क्लीना जोलिन टेक्नोलॉजी वाला सिमडी पुड़ी से फूल तक इसका इस्तेमाल कीजिए ये जै सिट्स थ्रिप्स और गुलाबी सुंडी पर रोकथाम तो करता ही है और साथ में देता है स्वस्थ मजबूत पुरी और ज्यादा उपज मतलब आपको ना सुरक्षा की टेंशन ना मुनाफे की चिंता सि मोडिस्ट फसल का 360 डिग्री चैंपियन कैसा लग रहा हो मस्त सर चलिए सिमस से मिले एक बेहतर कल की शुरुआत,"Today I have said that if the best quality cotton kurta is not available for me, then the shooting is canceled, sir, good, it took you so much time to find a cotton kurta, it caused so much trouble, then just think about the farmers who grow cotton, that era is gone, right sir, now this SIM is done by doing so much, do the SIMS farmers know about it? Not only does it prevent thrips and pink bollworms but it also gives healthy, strong seeds and high yield, which means you don't have to worry about safety or profit. Si Modist is a 360 degree crop champion. How are you feeling? Cool sir, let's meet Simus, the beginning of a better tomorrow.",hi
Simodis,Marathi,Simodis - Marathi,https://youtu.be/QmISTgFxQm8,"तुम्हाला माहित आहे का की नवीन तंत्रज्ञान असलेले तुमचे आवडते कीटकनाशक सिमोडिस कसे काम करते? चला, या व्हिडिओद्वारे सिमोडिसची अनोखी कार्यप्रणाली समजून घेऊया आणि आपल्या मेहनतीने पिकवलेल्या किंमती भाज्यांना थ्रिप्स आणि इतर धोकादायक कीडांपासून वाचवूया! अधिक माहितीसाठी कृपया फॉर्म भरा: https://bit.ly/Simodismarathi syngenta simodis cotton 360protection plinazolin plinazolintechnology",Do you know how your favorite pesticide Simodis works with new technology? Let's understand the unique mode of action of Simodis through this video and save your hard-earned precious vegetables from thrips and other dangerous pests! For more information please fill the form: https://bit.ly/Simodismarathi syngenta simodis cotton 360protection plinazolin plinazolintechnology,unknown
Vestoria,Hindi,Vestoria - Hindi,https://youtu.be/4IPZwAS50fA,फाइटर भी डॉक्टर भी चल क्या रहा है यही सोच रहे ना आप बताता हूं वेरि एक फाइटर की तरह बीपीएच को चि तो करता ही है पर साथ में एक डॉक्टर की तरह आपके फसल के मजबूत तनों का निर्माण भी करता है जिससे कि आपकी फसल को मिलते हैं मजबूत तने मतलब तंदुरुस्त फसल अधिक उपज और अधिक मुनाफ क्या समझे टोरिया लगाओ मजबूत तने पा,"Fighter is also a doctor, what is going on, you are thinking the same thing, don't you tell me, like a fighter, he not only cures BPH but also like a doctor, he also builds strong stems of your crop so that your crop gets strong stems, which means healthy crop, more yield and more profit. What do you understand, plant toria to get strong stems.",hi
Vestoria,Kannada,Vestoria - Kannada,https://youtu.be/is0zm-9KMp4,ಅನ್ನನಾ ಬರ್ತಿವಲ್ಲ ದಮಾಕಾ ಮಾಡಿ ಬರ್ತಿವಿ ಕಂಡಿತಾ ಡಾಂಸ್ ಕೂಡಾ ಮಾಡವನ ಸರಿನ ನಾ ನಾನು ಮಾಡತಿದೆ ಅಮ್ಮಾ ನಿಭು ಯೋಚನೆ ಮಾಡಿಲಿಲಾವೇ ನಾವು ಮಾಡಲಿಲಾ ಅಕ್ಕಸ್ಮತ್ತ ಇದೆ ಎಲವು ನದಿಗೋಗತ್ತೆ ಇದಾರಣಗೆ ನಿಮ್ಮ ಬತ್ತದ ಬಿಳೆಲಿ ವಿಪಿರ್ಚನ ದಾಳಿ ನಾಮನು ಮಾಡಿಲಿಲಿಲಿಲಿ ಸಿಂಜನ್ಟಾದ ವೇಸ್ಟೋರಿಯಾ ತಕ್ಷಣದ ಕ್ರಿಯು ನಿರಂದ ಅಪ್ಪತ್ತಿಕ್ರಿಯೆ,"Annana Berthivalla Damaka, Barthivi Kandita Dance, I am doing it right, Amma Nibhu thought, Amma Nibhu Yochanma, What are we doing?",kn
Ampligo,Kannada,Ampligo - Kannada,https://youtu.be/yEJlCtiOaXg,ನಿಮ್ಮ ಅದೃಷ್ಟ ನಿಮ್ಮ ಕೈಯಲ್ಲೇ ಇದೆ ! ಗುಲಾಬಿ ಕಾಯಿಕೊರಕದ ನಿರ್ವಹಣೆಗಾಗಿ ಒಂದು ಮಾರ್ಗದರ್ಶಕ ! For more details: https://www.gulabiabhiyaan.com/kannada/,Your fate is in your hands! A guide to managing rose borer! For more details: https://www.gulabiabhiyaan.com/kannada/,unknown
Incipio,Hindi,Incipio - Hindi,https://youtu.be/SEeFpfCRATk,सुनो भैया जरा बाइक रिपेयर करना है इन्होने ब्रेक ठीक कराने में थोड़ी देर कर दी और इसी वजह से यह हुई खराब टाइमिंग अरे सुनो भैया जरा बाइक सर्विस करना है और ये हुई इनसीपी टाइमिंग लाइफ की तरह खेती में भी टाइमिंग बहुत जरूरी है इसलिए बनल ए टेक्नोलॉजी युक्त क्रांतिकारी कीटनाशक इन सियों को धान की फसल में रुई के 15 से 25 दिन में इस्तेमाल कि बस देर मत कीजिए फिर इसका कमाल तो इन सियों से पाइए तना छेदक और पत्ता लपेट पर लंबा समय तक नियंत्रण प,"Listen brother, the bike has to be repaired, they delayed a little in getting the brakes fixed and that is why this bad timing happened. Hey listen brother, just service the bike and this happened inCP timing. Like life, timing is very important in farming too, hence Banal is a revolutionary insecticide with technology. Use these seeds in the 15 to 25 days of cotton in the paddy crop. Just don't delay, then get the magic from these seeds, long term control on stem borer and leaf roll. p",hi
Incipio,Telugu,Incipio - Telugu,https://youtu.be/vUIYwTk1Z80,హలో బ్రదర్ నా బైక్ రిపేర్ చేయాలి ఇతను బైక్ రిపేర్ చేయించడంలో ఆలస్యం చేశాడు అందువల్లనే ఇది అయ్యింది తప్పు టైమింగ్ హలో బ్రదర్ నా బైక్ సర్వీస్ చేయాలి దీన్నే అంటారు ఇన్సిపియో టైమింగ్ జీవితంతో పాటు మీ పంటలో కూడా టైమింగ్ చాలా అవసరం అందుకే ప్లెనజాలన్ టెక్నాలజీ కలిగిన విప్లవాత్మక కీటక నాశిని ఇన్సిపియో ని మీ వరి పంటలో నాట్లు వేసిన 15 నుండి 25 రోజుల లోపుగా వాడండి ఆలస్యం చేయకండి అద్భుతాన్ని చూడండి అయితే ఇన్సిపియోదు పొందండి కాండం తొలిచు పురుగు మరియు ఆకు చుట్టూ పురుగులపై దీర్ఘకాలిక నియంత్రణ,Hello brother my bike needs to be repaired he delayed in repairing the bike that is why this is wrong Timing Hello brother my bike needs to be serviced this is called incipio timing Timing is very important in life as well as in your crop so use incipio a revolutionary insecticide with plenazalon technology in your paddy crop within 15 to 25 days of planting don't delay see the miracle but get incipio stems Long-term control of leafhoppers and leafhoppers,te
Incipio,Kannada,Incipio - Kannada,https://youtu.be/FowIoRdXyOc,"ಪರಿಚಯಿಸುತ್ತಿದ್ದೇವೆ ಸಿಂಜೆಂಟಾ ರವರ ಪ್ಲಿನಾಝೋಲಿನ್ ತಂತ್ರಜ್ಞಾನದಿಂದ ಅಭಿವೃದ್ಧಿಪಡಿಸಲಾದ ಇನ್ಸಿಪಿಯೊ. 1. ನಿಮ್ಮ ಭತ್ತದ ಬೆಳೆಯಲ್ಲಿ ಕಾಂಡಕೊರಕ ಮತ್ತು ಎಲೆ ಸುರುಳಿ ಕೀಟಗಳ ವಿರುದ್ಧ ಸರಿಸಾಟಿಯಿಲ್ಲದ ಪರಿಣಾಮಕಾರಿ ನಿಯಂತ್ರಣ. 2. ಸೂರ್ಯನ ಕಿರಣ ಮತ್ತು ಮಳೆ ನೀರಿನಿಂದ ಅತ್ಯುತ್ತಮ ರಕ್ಷಣೆ ಹಾಗೂ ದೀರ್ಘಾವಧಿಯ ನಿಯಂತ್ರಣವನ್ನು ಒದಗಿಸುತ್ತದೆ. 3. ಕಾಂಡಕೊರಕ ಕೀಟಗಳ ಜೀವನ ಚಕ್ರದ ಎಲ್ಲಾ ಹಂತಗಳು - ಮೊಟ್ಟೆಗಳು, ಮರಿಕೀಟ ಮತ್ತು ಪ್ರೌಢ ಕೀಟಗಳ ಮೇಲೆ ಪರಿಣಾಮಕಾರಿ ನಿಯಂತ್ರಣವನ್ನು ಒದಗಿಸುವ ಮೂಲಕ ನಿಮ್ಮ ಭತ್ತದ ಬೆಳೆಯನ್ನು ಸಂರಕ್ಷಿಸುತ್ತದೆ. 4. ಇನ್ಸಿಪಿಯೊ. ನೊಂದಿಗೆ ನಿಮ್ಮ ಬೆಳೆಗಳ ಶಕ್ತಿ ಮತ್ತು ಉತ್ಪಾದಕತೆಯನ್ನು ವೃದ್ಧಿಸಿ. ಇನ್ಸಿಪಿಯೊ ಜೊತೆಗೆ ಹೊಸ ಇತಿಹಾಸ ಬರೆಯುವ ಸಮಯ. ಸಂಬಂಧಪಟ್ಟ ವ್ಯಕ್ತಿಯನ್ನು ಸಂಪರ್ಕಿಸಲು ಕೆಳಗಿನ ಫಾರ್ಮ್ ಅನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ ಮತ್ತು ಕಳುಹಿಸಿ: https://bit.ly/incpioricekannada incipio timehascome pestmanagement rice stemborer leaffolder plinazolin plinazolintechnology syngenta insecticide","Introducing Incipio developed from Syngenta's Plinazoline technology. 1. Unparalleled effective control of stem borer and leaf curler insects in your rice crop. 2. Provides excellent protection and long lasting control from sun rays and rain water. 3. Protects your rice crop by providing effective control of all stages of stem borer life cycle – eggs, larvae and adults. 4. Incipio. Increase the vigor and productivity of your crops with Time to make new history with Incipio. Complete and submit the following form to contact the concerned person: https://bit.ly/incpioricekannada incipio timehascome pestmanagement rice stemborer leaffolder plinazolin plinazolintechnology syngenta insecticide",unknown
Reflect Top,Hindi,Reflect Top - Hindi,https://youtu.be/rsMZPryND-I,नमस्ते किसान भाई रिफ्लेक्ट टॉप का उपयोग सक्रिय टेलरिंग चरण में करें प्रति एकड़ 160 मिली 200 लीटर पानी में मिलाए अच्छे परिणामों के लिए समान रूप से छिड़काव करें याद रखें सही समय पर प्रयोग करना महत्त्वपूर्ण है,Hello farmer bhai use Reflect Top in active tailoring stage. Mix 160 ml per acre in 200 liters of water. Spray evenly for best results. Remember it is important to apply at right time.,hi
Reflect Top,Marathi,Reflect Top - Marathi,https://youtu.be/OmjjHJSQKT4,नमस्कार रिफ्लेक्ट टॉप पिका मजबूत पाया प्रदान करते याम चांगली पीक वाढ आणि उच्च उत्पादन क्षमता मिलते तुम्हाला संपूर्ण हंगामा तुमच्या पिका चांगल्या संरक्षण विश्वास राहील,"Namaskar Reflect Top Pika provides strong peak growth and high production capacity, you get complete crop and good conservation confidence of your Pika.",hi-orig
